
Relation :  FLAG  ==  TYPE  |  VARIANT << 5
                  ==  TYPE  +  VARIANT * 0x20
0x09  0x003  0x0069   0.10%  T83 course.kcl
0x09  0x003  0x0069   0.84%  T33 course.kcl
0x09  0x003  0x0069   1.08%  T12 course.kcl
0x09  0x003  0x0069   4.17%  T13 course.kcl
0x09  0x003  0x0069   4.40%  T52 course.kcl

0x09  0x005  0x00a9   0.27%  T31 course.kcl
0x09  0x005  0x00a9   0.84%  T33 course.kcl
0x09  0x005  0x00a9   2.19%  T73 course.kcl
0x09  0x005  0x00a9   2.51%  T84 course.kcl
0x09  0x005  0x00a9   4.27%  T51 course.kcl
0x09  0x005  0x00a9   5.98%  T42 course.kcl
0x09  0x005  0x00a9   6.37%  T52 course.kcl
0x09  0x005  0x00a9   8.41%  T74 course.kcl
0x09  0x005  0x00a9  15.70%  T82 course.kcl

0x09  0x008  0x0109   0.73%  T74 course.kcl
0x09  0x008  0x0109   0.84%  T31 course.kcl
0x09  0x008  0x0109   0.88%  T32 course.kcl
0x09  0x008  0x0109   1.24%  T14 course.kcl
0x09  0x008  0x0109   1.29%  T22 course.kcl
0x09  0x008  0x0109   2.32%  T43 course.kcl

0x09  0x00b  0x0169   0.78%  T33 course.kcl
0x09  0x00b  0x0169   2.56%  T13 course.kcl

0x09  0x00d  0x01a9   0.04%  T31 course.kcl
0x09  0x00d  0x01a9   0.21%  T33 course.kcl
0x09  0x00d  0x01a9   0.41%  T84 course.kcl

0x09  0x010  0x0209   0.08%  T43 course.kcl
0x09  0x010  0x0209   1.78%  T31 course.kcl

0x09  0x018  0x0309   0.20%  T32 course.kcl
0x09  0x018  0x0309   0.46%  T43 course.kcl
0x09  0x018  0x0309   0.50%  T34 course.kcl

0x09  0x020  0x0409   0.39%  T34 course.kcl

----------------------------------------------------
*** Solid Fall ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0a  0x000  0x000a   1.00%  T63 course.kcl
0x0a  0x000  0x000a   1.49%  T51 course.kcl
0x0a  0x000  0x000a   6.02%  T31 course.kcl

0x0a  0x002  0x004a   0.03%  T31 course.kcl
0x0a  0x002  0x004a   0.08%  T43 course.kcl

0x0a  0x003  0x006a   0.08%  T61 course.kcl

0x0a  0x004  0x008a   0.21%  T14 course.kcl
0x0a  0x004  0x008a   3.93%  T24 course.kcl

0x0a  0x005  0x00aa   1.19%  T82 course.kcl
0x0a  0x005  0x00aa   3.27%  T21 course.kcl
0x0a  0x005  0x00aa   4.68%  T54 course.kcl
0x0a  0x005  0x00aa  22.49%  T12 course.kcl

0x0a  0x006  0x00ca   0.05%  T11 course.kcl
0x0a  0x006  0x00ca   0.09%  T24 course.kcl
0x0a  0x006  0x00ca   0.24%  T32 course.kcl
0x0a  0x006  0x00ca   0.74%  T31 course.kcl

0x0a  0x008  0x010a   0.46%  T31 course.kcl

0x0a  0x00c  0x018a   0.10%  T43 course.kcl
0x0a  0x00c  0x018a   0.83%  T14 course.kcl

0x0a  0x00d  0x01aa   0.56%  T33 course.kcl

0x0a  0x00e  0x01ca   0.29%  T31 course.kcl

0x0a  0x012  0x024a   0.08%  T43 course.kcl

0x0a  0x016  0x02ca   0.96%  T24 course.kcl

0x0a  0x01c  0x038a   0.06%  T43 course.kcl

0x0a  0x0c1  0x182a   0.01%  T31 course.kcl
0x0a  0x0c1  0x182a   0.10%  T32 course.kcl
0x0a  0x0c1  0x182a   0.13%  T41 course.kcl

0x0a  0x0c7  0x18ea  11.28%  T71 course.kcl

----------------------------------------------------
*** Moving Water ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0b  0x000  0x000b   5.74%  T32 course.kcl

0x0b  0x001  0x002b   0.20%  T32 course.kcl

0x0b  0x002  0x004b   0.63%  T32 course.kcl
0x0b  0x002  0x004b   0.63%  T52 course.kcl

0x0b  0x010  0x020b   2.26%  T32 course.kcl

0x0b  0x018  0x030b   1.08%  T32 course.kcl

0x0b  0x01a  0x034b   0.35%  T32 course.kcl

0x0b  0x01b  0x036b   0.56%  T32 course.kcl

----------------------------------------------------
*** Wall ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0c  0x000  0x000c   0.59%  T22 course.kcl
0x0c  0x000  0x000c   1.27%  T52 course.kcl
0x0c  0x000  0x000c   1.73%  T32 course.kcl
0x0c  0x000  0x000c   2.27%  T13 course.kcl
0x0c  0x000  0x000c   3.00%  T34 VolcanoPiece9.kcl
0x0c  0x000  0x000c   3.56%  T34 VolcanoPiece4.kcl
0x0c  0x000  0x000c   3.67%  T34 VolcanoPiece3.kcl
0x0c  0x000  0x000c   3.92%  T82 course.kcl
0x0c  0x000  0x000c   4.02%  T34 VolcanoPiece18.kcl
0x0c  0x000  0x000c   4.14%  T83 course.kcl
0x0c  0x000  0x000c   4.21%  T24 course.kcl
0x0c  0x000  0x000c   4.27%  T61 course.kcl
0x0c  0x000  0x000c   4.61%  T42 course.kcl
0x0c  0x000  0x000c   4.62%  T34 VolcanoPiece11.kcl
0x0c  0x000  0x000c   4.74%  T74 course.kcl
0x0c  0x000  0x000c   5.33%  T34 course.kcl
0x0c  0x000  0x000c   5.52%  T21 course.kcl
0x0c  0x000  0x000c   6.00%  T11 course.kcl
0x0c  0x000  0x000c   6.35%  T34 VolcanoPiece0.kcl
0x0c  0x000  0x000c   6.72%  T34 VolcanoPiece13.kcl
0x0c  0x000  0x000c   6.81%  T71 course.kcl
0x0c  0x000  0x000c   8.46%  T51 course.kcl
0x0c  0x000  0x000c   8.80%  T43 course.kcl
0x0c  0x000  0x000c   9.14%  T34 VolcanoPiece16.kcl
0x0c  0x000  0x000c  10.48%  T34 VolcanoPiece2.kcl
0x0c  0x000  0x000c  11.44%  T34 VolcanoPiece1.kcl
0x0c  0x000  0x000c  11.77%  T54 course.kcl
0x0c  0x000  0x000c  14.46%  T81 course.kcl
0x0c  0x000  0x000c  16.82%  T84 course.kcl
0x0c  0x000  0x000c  17.39%  T34 VolcanoRock1.kcl
0x0c  0x000  0x000c  24.42%  T63 course.kcl
0x0c  0x000  0x000c  37.46%  T72 course.kcl
0x0c  0x000  0x000c  75.00%  T64 WLdokanGC.kcl
0x0c  0x000  0x000c  75.00%  T64 WLwallGC.kcl

0x0c  0x001  0x002c   0.07%  T64 course.kcl
0x0c  0x001  0x002c   0.45%  T33 course.kcl
0x0c  0x001  0x002c   0.81%  T14 course.kcl
0x0c  0x001  0x002c   1.95%  T74 course.kcl
0x0c  0x001  0x002c   2.01%  T54 course.kcl
0x0c  0x001  0x002c   2.46%  T34 course.kcl
0x0c  0x001  0x002c   4.13%  T51 course.kcl
0x0c  0x001  0x002c   4.86%  T42 course.kcl
0x0c  0x001  0x002c   5.21%  T21 course.kcl
0x0c  0x001  0x002c   5.82%  T24 course.kcl
0x0c  0x001  0x002c   6.17%  T83 course.kcl
0x0c  0x001  0x002c   6.35%  T32 course.kcl
0x0c  0x001  0x002c  11.41%  T13 course.kcl
0x0c  0x001  0x002c  15.24%  T73 course.kcl
0x0c  0x001  0x002c  28.10%  T34 VolcanoPiece1.kcl
0x0c  0x001  0x002c  34.68%  T34 VolcanoPiece11.kcl
0x0c  0x001  0x002c  36.89%  T34 VolcanoPiece4.kcl
0x0c  0x001  0x002c  38.31%  T34 VolcanoPiece2.kcl
0x0c  0x001  0x002c  38.66%  T34 VolcanoPiece13.kcl
0x0c  0x001  0x002c  49.21%  T34 VolcanoPiece0.kcl
0x0c  0x001  0x002c  49.71%  T34 VolcanoPiece16.kcl
0x0c  0x001  0x002c  50.46%  T34 VolcanoPiece3.kcl
0x0c  0x001  0x002c  57.79%  T34 VolcanoPiece18.kcl
0x0c  0x001  0x002c  59.44%  T34 VolcanoPiece14.kcl
0x0c  0x001  0x002c  70.04%  T34 VolcanoPiece9.kcl

0x0c  0x002  0x004c   0.60%  T62 course.kcl
0x0c  0x002  0x004c   0.79%  T61 course.kcl
0x0c  0x002  0x004c   0.84%  T81 course.kcl
0x0c  0x002  0x004c   0.86%  T63 course.kcl
0x0c  0x002  0x004c   1.04%  T73 course.kcl
0x0c  0x002  0x004c   1.10%  T51 course.kcl
0x0c  0x002  0x004c   1.19%  T74 course.kcl
0x0c  0x002  0x004c   1.56%  T12 course.kcl
0x0c  0x002  0x004c   1.73%  T71 course.kcl
0x0c  0x002  0x004c   1.84%  T72 course.kcl
0x0c  0x002  0x004c   1.91%  T83 course.kcl
0x0c  0x002  0x004c   3.38%  T52 course.kcl
0x0c  0x002  0x004c   4.03%  T32 course.kcl
0x0c  0x002  0x004c   4.40%  T21 course.kcl
0x0c  0x002  0x004c   5.04%  T54 course.kcl
0x0c  0x002  0x004c   8.03%  T82 course.kcl
0x0c  0x002  0x004c  10.07%  T11 course.kcl
0x0c  0x002  0x004c  14.33%  T64 course.kcl
0x0c  0x002  0x004c  14.41%  T14 course.kcl
0x0c  0x002  0x004c  21.27%  T42 course.kcl
0x0c  0x002  0x004c  38.89%  T14 bulldozer_left.kcl
0x0c  0x002  0x004c  38.89%  T14 bulldozer_right.kcl
0x0c  0x002  0x004c  70.00%  T14 Crane.kcl

0x0c  0x003  0x006c   0.06%  T32 course.kcl
0x0c  0x003  0x006c   0.06%  T33 course.kcl
0x0c  0x003  0x006c   0.47%  T61 course.kcl
0x0c  0x003  0x006c   0.94%  T51 course.kcl
0x0c  0x003  0x006c   1.20%  T24 course.kcl
0x0c  0x003  0x006c   1.26%  T41 course.kcl
0x0c  0x003  0x006c   2.09%  T74 course.kcl
0x0c  0x003  0x006c   3.11%  T21 course.kcl
0x0c  0x003  0x006c   3.56%  T43 course.kcl
0x0c  0x003  0x006c   5.14%  T23 course.kcl
0x0c  0x003  0x006c   5.38%  T83 course.kcl
0x0c  0x003  0x006c   5.42%  T63 course.kcl
0x0c  0x003  0x006c   6.24%  T34 course.kcl
0x0c  0x003  0x006c   6.95%  T71 course.kcl
0x0c  0x003  0x006c   7.69%  T31 course.kcl
0x0c  0x003  0x006c   8.03%  T73 course.kcl
0x0c  0x003  0x006c  12.25%  T52 course.kcl
0x0c  0x003  0x006c  12.80%  T13 course.kcl
0x0c  0x003  0x006c  13.76%  T54 course.kcl
0x0c  0x003  0x006c  18.64%  T12 course.kcl
0x0c  0x003  0x006c  29.17%  T63 TownBridgeDS.kcl
0x0c  0x003  0x006c  29.17%  T63 TownBridgeDS2.kcl
0x0c  0x003  0x006c  29.17%  T63 TownBridgeDS3.kcl
0x0c  0x003  0x006c  31.81%  T53 course.kcl
0x0c  0x003  0x006c  33.33%  T21 Mdush.kcl

0x0c  0x004  0x008c   0.46%  T23 course.kcl
0x0c  0x004  0x008c  24.89%  T61 course.kcl

0x0c  0x005  0x00ac   0.73%  T63 course.kcl
0x0c  0x005  0x00ac   0.76%  T33 course.kcl
0x0c  0x005  0x00ac   1.16%  T74 course.kcl
0x0c  0x005  0x00ac   1.27%  T52 course.kcl
0x0c  0x005  0x00ac   1.86%  T83 course.kcl
0x0c  0x005  0x00ac   7.41%  T84 course.kcl
0x0c  0x005  0x00ac  23.06%  T82 course.kcl

0x0c  0x006  0x00cc   0.70%  T63 course.kcl
0x0c  0x006  0x00cc   0.77%  T73 course.kcl
0x0c  0x006  0x00cc   4.96%  T52 course.kcl

0x0c  0x007  0x00ec   0.51%  T54 course.kcl
0x0c  0x007  0x00ec   2.20%  T11 course.kcl

0x0c  0x008  0x010c   0.19%  T11 course.kcl
0x0c  0x008  0x010c   0.36%  T32 course.kcl
0x0c  0x008  0x010c   0.59%  T21 course.kcl
0x0c  0x008  0x010c   1.14%  T74 course.kcl
0x0c  0x008  0x010c   1.47%  T22 course.kcl
0x0c  0x008  0x010c   2.46%  T34 course.kcl
0x0c  0x008  0x010c   7.21%  T43 course.kcl
0x0c  0x008  0x010c  17.39%  T34 VolcanoRock2.kcl
0x0c  0x008  0x010c  31.68%  T84 course.kcl

0x0c  0x009  0x012c   2.09%  T24 course.kcl
0x0c  0x009  0x012c   2.54%  T32 course.kcl
0x0c  0x009  0x012c   7.73%  T73 course.kcl
0x0c  0x009  0x012c  12.80%  T13 course.kcl
0x0c  0x009  0x012c  35.39%  T61 course.kcl

0x0c  0x00a  0x014c   0.06%  T32 course.kcl
0x0c  0x00a  0x014c   0.26%  T54 course.kcl
0x0c  0x00a  0x014c   0.32%  T21 course.kcl
0x0c  0x00a  0x014c   0.73%  T74 course.kcl
0x0c  0x00a  0x014c  10.37%  T14 course.kcl

0x0c  0x00b  0x016c   0.28%  T24 course.kcl
0x0c  0x00b  0x016c   0.36%  T32 course.kcl
0x0c  0x00b  0x016c   1.20%  T33 course.kcl
0x0c  0x00b  0x016c   1.42%  T61 course.kcl

0x0c  0x00e  0x01cc   0.71%  T24 course.kcl

0x0c  0x010  0x020c   1.21%  T43 course.kcl
0x0c  0x010  0x020c   1.68%  T32 course.kcl
0x0c  0x010  0x020c   5.20%  T84 course.kcl

0x0c  0x011  0x022c   3.46%  T34 course.kcl
0x0c  0x011  0x022c   6.59%  T24 course.kcl

0x0c  0x012  0x024c   0.48%  T32 course.kcl

0x0c  0x013  0x026c   4.79%  T24 course.kcl

0x0c  0x016  0x02cc   0.19%  T24 course.kcl

0x0c  0x018  0x030c   1.29%  T32 course.kcl
0x0c  0x018  0x030c   5.61%  T34 course.kcl
0x0c  0x018  0x030c  11.75%  T43 course.kcl

0x0c  0x019  0x032c   0.73%  T32 course.kcl
0x0c  0x019  0x032c   2.40%  T24 course.kcl

0x0c  0x01a  0x034c   2.82%  T32 course.kcl
0x0c  0x01a  0x034c   3.26%  T14 course.kcl

0x0c  0x01b  0x036c   0.28%  T24 course.kcl
0x0c  0x01b  0x036c   2.15%  T32 course.kcl

0x0c  0x01e  0x03cc   0.66%  T24 course.kcl

0x0c  0x020  0x040c   0.54%  T43 course.kcl
0x0c  0x020  0x040c   2.92%  T34 course.kcl

0x0c  0x023  0x046c   0.14%  T43 course.kcl

0x0c  0x400  0x800c   0.10%  T64 course.kcl
0x0c  0x400  0x800c   0.22%  T43 course.kcl
0x0c  0x400  0x800c   0.31%  T42 course.kcl
0x0c  0x400  0x800c   0.36%  T51 course.kcl
0x0c  0x400  0x800c   0.75%  T54 course.kcl
0x0c  0x400  0x800c   0.82%  T34 course.kcl
0x0c  0x400  0x800c   0.91%  T83 course.kcl
0x0c  0x400  0x800c   1.31%  T34 VolcanoPiece1.kcl
0x0c  0x400  0x800c   1.54%  T82 course.kcl
0x0c  0x400  0x800c   1.68%  T63 course.kcl
0x0c  0x400  0x800c   2.61%  T61 course.kcl
0x0c  0x400  0x800c   3.14%  T84 course.kcl
0x0c  0x400  0x800c  14.81%  T72 course.kcl
0x0c  0x400  0x800c  69.57%  T34 VolcanoRock1.kcl

0x0c  0x401  0x802c   0.40%  T24 course.kcl
0x0c  0x401  0x802c   0.51%  T32 course.kcl
0x0c  0x401  0x802c   0.64%  T14 course.kcl
0x0c  0x401  0x802c   0.85%  T43 course.kcl
0x0c  0x401  0x802c   1.02%  T41 course.kcl
0x0c  0x401  0x802c   1.79%  T83 course.kcl
0x0c  0x401  0x802c   2.06%  T71 course.kcl
0x0c  0x401  0x802c   2.75%  T34 VolcanoPiece3.kcl
0x0c  0x401  0x802c   2.75%  T42 course.kcl
0x0c  0x401  0x802c   2.98%  T33 course.kcl
0x0c  0x401  0x802c   4.02%  T34 VolcanoPiece18.kcl
0x0c  0x401  0x802c   4.20%  T34 VolcanoPiece14.kcl
0x0c  0x401  0x802c   4.32%  T73 course.kcl
0x0c  0x401  0x802c   4.49%  T13 course.kcl
0x0c  0x401  0x802c   4.76%  T34 VolcanoPiece0.kcl
0x0c  0x401  0x802c   5.23%  T34 VolcanoPiece1.kcl
0x0c  0x401  0x802c   5.65%  T34 VolcanoPiece2.kcl
0x0c  0x401  0x802c   6.72%  T34 VolcanoPiece13.kcl
0x0c  0x401  0x802c   6.86%  T34 VolcanoPiece16.kcl
0x0c  0x401  0x802c   8.66%  T52 course.kcl
0x0c  0x401  0x802c   9.25%  T34 VolcanoPiece11.kcl
0x0c  0x401  0x802c  10.76%  T34 course.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece0c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece11c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece13c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece14c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece16c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece18c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece1c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece2c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece3c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece4c.kcl
0x0c  0x401  0x802c 100.00%  T34 VolcanoPiece9c.kcl

0x0c  0x402  0x804c   0.33%  T32 course.kcl
0x0c  0x402  0x804c   0.68%  T14 course.kcl
0x0c  0x402  0x804c   2.77%  T42 course.kcl
0x0c  0x402  0x804c  13.33%  T14 Crane.kcl

0x0c  0x403  0x806c   0.17%  T43 course.kcl
0x0c  0x403  0x806c   0.39%  T83 course.kcl
0x0c  0x403  0x806c   0.42%  T24 course.kcl
0x0c  0x403  0x806c   0.76%  T13 course.kcl
0x0c  0x403  0x806c   1.38%  T33 course.kcl
0x0c  0x403  0x806c   2.11%  T52 course.kcl
0x0c  0x403  0x806c   2.34%  T63 course.kcl
0x0c  0x403  0x806c  41.21%  T53 course.kcl
0x0c  0x403  0x806c  41.67%  T63 TownBridgeDS.kcl
0x0c  0x403  0x806c  41.67%  T63 TownBridgeDS2.kcl
0x0c  0x403  0x806c  41.67%  T63 TownBridgeDS3.kcl

0x0c  0x404  0x808c   3.65%  T23 course.kcl

0x0c  0x408  0x810c   0.25%  T43 course.kcl
0x0c  0x408  0x810c   1.60%  T34 course.kcl
0x0c  0x408  0x810c  28.57%  T34 VolcanoPiece7.kcl
0x0c  0x408  0x810c  29.85%  T34 VolcanoPiece5.kcl
0x0c  0x408  0x810c  51.61%  T34 VolcanoPiece8.kcl
0x0c  0x408  0x810c  69.57%  T34 VolcanoRock2.kcl
0x0c  0x408  0x810c 100.00%  T34 VolcanoPiece5c.kcl
0x0c  0x408  0x810c 100.00%  T34 VolcanoPiece7c.kcl
0x0c  0x408  0x810c 100.00%  T34 VolcanoPiece8c.kcl

0x0c  0x409  0x812c   0.52%  T13 course.kcl
0x0c  0x409  0x812c   0.88%  T32 course.kcl
0x0c  0x409  0x812c   1.60%  T41 course.kcl

0x0c  0x40a  0x814c   0.60%  T14 course.kcl
0x0c  0x40a  0x814c   5.30%  T72 course.kcl

0x0c  0x40b  0x816c   0.51%  T33 course.kcl

0x0c  0x411  0x822c   0.46%  T24 course.kcl

0x0c  0x413  0x826c   4.18%  T24 course.kcl
0x0c  0x413  0x826c   6.74%  T84 course.kcl

0x0c  0x418  0x830c   0.25%  T34 course.kcl
0x0c  0x418  0x830c   1.51%  T43 course.kcl

0x0c  0x419  0x832c   0.39%  T32 course.kcl

0x0c  0x41b  0x836c   0.42%  T33 course.kcl

0x0c  0x420  0x840c   0.18%  T34 course.kcl
0x0c  0x420  0x840c   1.14%  T43 course.kcl

0x0c  0x423  0x846c   0.35%  T43 course.kcl

----------------------------------------------------
*** Invisible Wall ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0d  0x000  0x000d   0.60%  T84 course.kcl
0x0d  0x000  0x000d   1.22%  T43 course.kcl
0x0d  0x000  0x000d   1.32%  T34 course.kcl
0x0d  0x000  0x000d   2.02%  T33 course.kcl
0x0d  0x000  0x000d   2.33%  T24 course.kcl
0x0d  0x000  0x000d   2.96%  T32 course.kcl
0x0d  0x000  0x000d   3.45%  T41 course.kcl
0x0d  0x000  0x000d   3.55%  T14 course.kcl
0x0d  0x000  0x000d   3.60%  T71 course.kcl
0x0d  0x000  0x000d   3.71%  T11 course.kcl
0x0d  0x000  0x000d   3.84%  T44 course.kcl
0x0d  0x000  0x000d   4.29%  T13 course.kcl
0x0d  0x000  0x000d   5.21%  T54 course.kcl
0x0d  0x000  0x000d   5.40%  T63 course.kcl
0x0d  0x000  0x000d   5.70%  T51 course.kcl
0x0d  0x000  0x000d   6.37%  T22 course.kcl
0x0d  0x000  0x000d   7.90%  T21 course.kcl
0x0d  0x000  0x000d   8.44%  T74 course.kcl
0x0d  0x000  0x000d   9.25%  T23 course.kcl
0x0d  0x000  0x000d   9.51%  T31 course.kcl
0x0d  0x000  0x000d  10.53%  T52 course.kcl
0x0d  0x000  0x000d  11.03%  T73 course.kcl
0x0d  0x000  0x000d  11.40%  T42 course.kcl
0x0d  0x000  0x000d  11.79%  T12 course.kcl
0x0d  0x000  0x000d  14.46%  T81 course.kcl
0x0d  0x000  0x000d  15.10%  T64 course.kcl
0x0d  0x000  0x000d  15.14%  T83 course.kcl
0x0d  0x000  0x000d  16.67%  T14 bulldozer_left.kcl
0x0d  0x000  0x000d  16.67%  T14 bulldozer_right.kcl
0x0d  0x000  0x000d  24.53%  T82 course.kcl

0x0d  0x008  0x010d   0.08%  T31 course.kcl
0x0d  0x008  0x010d   0.32%  T21 course.kcl
0x0d  0x008  0x010d   0.71%  T24 course.kcl
0x0d  0x008  0x010d   0.75%  T74 course.kcl
0x0d  0x008  0x010d   1.13%  T32 course.kcl
0x0d  0x008  0x010d   2.10%  T43 course.kcl
0x0d  0x008  0x010d   2.31%  T33 course.kcl
0x0d  0x008  0x010d   2.51%  T13 course.kcl
0x0d  0x008  0x010d   2.85%  T22 course.kcl
0x0d  0x008  0x010d   3.30%  T14 course.kcl

0x0d  0x010  0x020d   0.33%  T43 course.kcl
0x0d  0x010  0x020d   0.70%  T22 course.kcl
0x0d  0x010  0x020d   2.06%  T31 course.kcl
0x0d  0x010  0x020d   3.53%  T24 course.kcl

0x0d  0x018  0x030d   0.21%  T43 course.kcl
0x0d  0x018  0x030d   0.63%  T32 course.kcl
0x0d  0x018  0x030d   0.75%  T34 course.kcl
0x0d  0x018  0x030d   1.01%  T24 course.kcl

0x0d  0x020  0x040d   0.61%  T34 course.kcl
0x0d  0x020  0x040d   2.11%  T43 course.kcl

----------------------------------------------------
*** Obstacle Wall ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0e  0x000  0x000e   0.21%  T54 course.kcl
0x0e  0x000  0x000e   0.26%  T82 course.kcl
0x0e  0x000  0x000e   0.98%  T83 course.kcl
0x0e  0x000  0x000e   1.96%  T43 course.kcl
0x0e  0x000  0x000e   2.03%  T31 course.kcl
0x0e  0x000  0x000e   2.79%  T64 course.kcl
0x0e  0x000  0x000e   3.88%  T51 course.kcl
0x0e  0x000  0x000e   5.71%  T22 course.kcl
0x0e  0x000  0x000e   8.35%  T21 course.kcl
0x0e  0x000  0x000e   8.80%  T74 course.kcl
0x0e  0x000  0x000e  24.47%  T63 course.kcl

0x0e  0x001  0x002e   0.91%  T21 course.kcl
0x0e  0x001  0x002e   1.30%  T64 course.kcl
0x0e  0x001  0x002e   3.67%  T23 course.kcl

0x0e  0x002  0x004e   0.23%  T71 course.kcl
0x0e  0x002  0x004e   0.36%  T51 course.kcl
0x0e  0x002  0x004e   0.62%  T73 course.kcl
0x0e  0x002  0x004e   1.73%  T31 course.kcl
0x0e  0x002  0x004e   2.20%  T21 course.kcl
0x0e  0x002  0x004e   5.00%  T14 course.kcl
0x0e  0x002  0x004e   5.11%  T82 course.kcl

0x0e  0x003  0x006e   0.10%  T33 course.kcl
0x0e  0x003  0x006e   0.20%  T83 course.kcl
0x0e  0x003  0x006e   0.96%  T22 course.kcl
0x0e  0x003  0x006e   2.19%  T12 course.kcl
0x0e  0x003  0x006e  15.46%  T52 course.kcl

0x0e  0x005  0x00ae   0.11%  T13 course.kcl
0x0e  0x005  0x00ae   2.17%  T74 course.kcl
0x0e  0x005  0x00ae   3.40%  T82 course.kcl

0x0e  0x008  0x010e   0.69%  T21 course.kcl
0x0e  0x008  0x010e   0.78%  T74 course.kcl
0x0e  0x008  0x010e   0.86%  T22 course.kcl
0x0e  0x008  0x010e   5.11%  T43 course.kcl

0x0e  0x00a  0x014e   8.98%  T14 course.kcl

0x0e  0x00b  0x016e   0.41%  T33 course.kcl

0x0e  0x010  0x020e   0.08%  T22 course.kcl
0x0e  0x010  0x020e   0.19%  T43 course.kcl

0x0e  0x012  0x024e   2.03%  T31 course.kcl

0x0e  0x018  0x030e   0.56%  T43 course.kcl

0x0e  0x01a  0x034e   0.06%  T32 course.kcl

----------------------------------------------------
*** Wall 3 ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x0f  0x000  0x000f   1.69%  T32 course.kcl
0x0f  0x000  0x000f  16.59%  T31 course.kcl
0x0f  0x000  0x000f  17.10%  T41 course.kcl
0x0f  0x000  0x000f  22.64%  T22 course.kcl
0x0f  0x000  0x000f  72.73%  T41 dc_pillar_base.kcl

0x0f  0x001  0x002f   0.59%  T33 course.kcl

0x0f  0x002  0x004f   2.33%  T22 course.kcl
0x0f  0x002  0x004f   4.08%  T31 course.kcl
0x0f  0x002  0x004f   5.44%  T24 course.kcl

0x0f  0x003  0x006f   5.63%  T33 course.kcl

0x0f  0x006  0x00cf   0.77%  T73 course.kcl

0x0f  0x008  0x010f   1.17%  T32 course.kcl
0x0f  0x008  0x010f   4.28%  T31 course.kcl
0x0f  0x008  0x010f   7.05%  T41 course.kcl
0x0f  0x008  0x010f   8.42%  T22 course.kcl

0x0f  0x009  0x012f  10.71%  T33 course.kcl

0x0f  0x00a  0x014f   0.50%  T22 course.kcl

0x0f  0x00b  0x016f  34.65%  T33 course.kcl

0x0f  0x010  0x020f   0.59%  T22 course.kcl
0x0f  0x010  0x020f   8.88%  T31 course.kcl

0x0f  0x012  0x024f   0.69%  T22 course.kcl
0x0f  0x012  0x024f   9.60%  T24 course.kcl

0x0f  0x018  0x030f   0.40%  T32 course.kcl

0x0f  0x01a  0x034f   0.05%  T24 course.kcl

0x0f  0x400  0x800f   0.28%  T22 course.kcl
0x0f  0x400  0x800f   1.60%  T31 course.kcl

0x0f  0x402  0x804f   1.08%  T24 course.kcl
0x0f  0x402  0x804f   1.21%  T22 course.kcl

0x0f  0x403  0x806f   0.02%  T22 course.kcl

0x0f  0x404  0x808f   0.01%  T22 course.kcl

0x0f  0x407  0x80ef   0.02%  T22 course.kcl

0x0f  0x408  0x810f   0.07%  T22 course.kcl
0x0f  0x408  0x810f   0.31%  T31 course.kcl

0x0f  0x40a  0x814f   0.04%  T22 course.kcl

0x0f  0x412  0x824f   1.01%  T24 course.kcl

0x0f  0x41a  0x834f   0.02%  T24 course.kcl

----------------------------------------------------
*** Fall Boundary ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x10  0x000  0x0010   0.09%  T22 course.kcl
0x10  0x000  0x0010   0.10%  T64 course.kcl
0x10  0x000  0x0010   0.12%  T24 course.kcl
0x10  0x000  0x0010   0.12%  T73 course.kcl
0x10  0x000  0x0010   0.14%  T52 course.kcl
0x10  0x000  0x0010   0.14%  T53 course.kcl
0x10  0x000  0x0010   0.27%  T32 course.kcl
0x10  0x000  0x0010   0.32%  T23 course.kcl
0x10  0x000  0x0010   0.58%  T33 course.kcl
0x10  0x000  0x0010   0.67%  T42 course.kcl
0x10  0x000  0x0010   1.04%  T31 course.kcl
0x10  0x000  0x0010   1.66%  T83 course.kcl
0x10  0x000  0x0010   3.66%  T13 course.kcl

0x10  0x001  0x0030   0.03%  T41 course.kcl
0x10  0x001  0x0030   0.09%  T63 course.kcl
